台湾地区,#genre#
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
半岛新闻1,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
生命电视台1,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8

香港地区,#genre#
香港34台,http://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
香港35台,http://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
香港国际财经台,http://61.10.2.140:80/live_freedirect/opentvhd002_h.live/chunklist_w400811857.m3u8
有线财经资讯台,http://61.10.2.140/live_freedirect/freehd208_h.live/playlist.m3u8
有线财经2,http://61.10.2.141/live_freedirect/freehd208_h.live/playlist.m3u8
有线新闻台2,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u
有线新闻8,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻7,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
有线新闻4,http://61.10.2.141:80/live_freedirect/freehd209_h.live/chunklist.m3u8
有线新闻3,http://61.10.2.140/live_freedirect/freehd209_h.live/playlist.m3u8
千禧经典台2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
TVB翡翠台12,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
香港国际财经,http://61.10.2.140/live_freedirect/opentvhd002_h.live/playlist.m3u8
翡翠台41,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
美亚电视C⁺,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
美亚电影台2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
番薯音乐1,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
猪哥亮歌厅秀,http://37.27.111.214:8080/live/35/hls.m3u8
TVB翡翠台6,http://php.jdshipin.com:8880/smt.php?id=Wlt
C⁺,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/01.m3u8
重温经典2,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv

全球视界,#genre#
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
时尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
FASHIONTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
FASHIONTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1402273512.m3u8
韩国EBS少儿童,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8?zshijd
韩国EBS⁺2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韩国EBS⁺1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
韩国-阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
韩国-EBS2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
韩国EBS12,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩·EBS-2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
韩·BBS佛教,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
阿里郎电视,http://amdlive-ch01.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
韩国EBS11,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
韩国EBS13,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
韩国EBSe,http://ebsonairios.ebs.co.kr/plus3tablet500k/tablet500k/plus3tablet500k.index.m3u8
EBS1,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
CJB|SBS,http://1.222.207.80:1935/live/cjbtv/playlist.m3u8
韩国KBSLiveCaDokDo,http://kbs-dokdo.gscdn.com/dokdo_300/dokdo_300.stream/playlist.m3u8
法国时尚21,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
法国时尚11,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
BBC新闻,http://tv.balkanweb.com:8081/news24/livestream/playlist.m3u8
外12,http://tv.balkanweb.com/news24/livestream/playlist.m3u8
日本QVC,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8

不可描述,#genre#
HOTHBOИзраиль,http://myott.top/stream/DT6QU63K5VX/381.m3u8
HBOREIU,http://hoabinhtvlive.746b3ddb.cdnviet.com/hoabinhtv/playlist.m3u8
Hardcore,http://live.redtraffic.xyz/hardcore.m3u8
NBATV,http://170.yfvodcdn.com:19980/live/nbaTV2/hls.m3u8
Lesbian2,http://cdn.redtraffic.net/lesbian.m3u8
Lesbian1,http://live.redtraffic.xyz/lesbian.m3u8
LATINATV,http://cdn.adultiptv.net/latina.m3u8
Jaanese,http://cdn.adultiptv.net/japanese.m3u8
AstroAOD2,http://php.jdshipin.com/TVOD/iptv.php?id=aod
BigTits,http://live.redtraffic.xyz/bigtits.m3u8
BigDick,http://live.redtraffic.xyz/bigdick.m3u8
AsianGirls,http://live.mycamtv.com/asian.m3u8
Blonde2,http://cdn.adultiptv.net/blonde.m3u8
Asian1,http://live.redtraffic.xyz/asian.m3u8
ArabGirls,http://live.mycamtv.com/arab.m3u8
Anal,http://live.redtraffic.xyz/anal.m3u8
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
Blonde1,http://live.redtraffic.xyz/blonde.m3u8
Coilation2,http://cdn.adultiptv.net/compilation.m3u8
Gay2,http://play.iptvxxx.net/gay.m3u8
Gay1,http://live.redtraffic.xyz/gay.m3u8
Gangbang1,http://live.redtraffic.xyz/gangbang.m3u8
w31,http://hz1.teleport.cc/HLS/SD.m3u8
WhiteGirls,http://live.mycamtv.com/white.m3u8
w38,http://gargoyle.tomkow.pl/hls/tvt.m3u8
三叉,http://spacetv.in/stream/DKQ6M3GWVG1/57.m3u8
w45,http://streamer1.streamhost.org:1935/salive/lctvde/playlist.m3u8
w40,http://streamer1.streamhost.org:1935/salive/GMIredadvenirm/playlist.m3u8
ORNSTARTV,http://cdn.redtraffic.net/pornstar.m3u8
RedTrafficLatina,http://live.redtraffic.xyz/latina.m3u8
Russian3,http://live.redtraffic.xyz:80/russian.m3u8
TEEN,http://cdn.redtraffic.net/teen.m3u8
RUSSIANTV,http://cdn.redtraffic.net/russian.m3u8
OV,http://cdn.redtraffic.net/pov.m3u8
THREESO,http://cdn.redtraffic.net/threesome.m3u8
1,http://live.redtraffic.xyz/threesome.m3u8?fluxuslust.m3u8
欧美版大屌1,http://live.redtraffic.xyz/rough.m3u8
欧美版一本道3,http://live.redtraffic.xyz:80/bigass.m3u8
欧美版一本道2,http://live.redtraffic.xyz/bigass.m3u8
欧美2,http://live.redtraffic.xyz/bigass.m3u8?fluxuslust.m3u8
欧美版K频道1,http://live.redtraffic.xyz/threesome.m3u8fluxuslust.m3u8
欧美版HOT2,http://play.iptvxxx.net/hardcore.m3u8
欧美版HOT1,http://live.redtraffic.xyz/hardcore.m3u8?fluxuslust.m3u8
欧美媒松视23,http://live.redtraffic.xyz:80/fetish.m3u8
欧美媒松视21,http://live.redtraffic.xyz/fetish.m3u8fluxuslust.m3u8
欧美版松视12,http://live.redtraffic.xyz:80/interracial.m3u8
午夜9,http://live.redtraffic.xyz/milf.m3u8?fluxuslust.m3u8
花花公子2,http://spacetv.in/stream/DKQ6M3GWVG1/56.m3u8
欧美版松视4,http://live.redtraffic.xyz/latina.m3u8fluxuslust.m3u8
欧美频道19,http://cdn.adultiptv.net/cuckold.m3u8
欧美版粉红22,http://live.redtraffic.xyz/teen.m3u8
欧美版粉红21,http://live.redtraffic.xyz:80/teen.m3u8
欧美版粉红1,http://live.redtraffic.xyz/teen.m3u8?fluxuslust.m3u8
欧美版玩美2,http://live.redtraffic.xyz:80/pov.m3u8
欧美版潘多拉2,http://live.redtraffic.xyz:80/pornstar.m3u8
欧美版潘多拉1,http://live.redtraffic.xyz/pornstar.m3u8
